"id","name"
"393","Nagaur"
"394","Pali"
"395","Rajsamand"
"396","Sawai Madhopur"
"397","Sikar"
"398","Sirohi"
"399","Tonk"
"400","Udaipur"
"401","Pratapgarh"
"410","Agra"
"411","Aligarh"
"412","Allahabad"
"413","Ambedkar Nagar"
"414","Auraiya"
"415","Azamgarh"
"416","Bagpat"
"417","Bahraich"
"418","Ballia"
"419","Balrampur"
"420","Banda"
"421","Barabanki"
"422","Bareilly"
"423","Basti"
"424","Bijnor"
"425","Budaun"
"426","Bulandshahr"
"427","Chandauli"
"428","Chitrakoot"
"429","Deoria"
"430","Etah"
"431","Etawah"
"432","Faizabad"
"433","Farrukhabad"
"434","Fatehpur"
"435","Firozabad"
"436","Gautam Buddha Nagar"
"437","Ghazipur"
"438","Ghaziabad"
"439","Gonda"
"440","Gorakhpur"
"441","Hamirpur"
"442","Hardoi"
"443","Hathras"
"444","Jalaun"
"445","Jaunpur"
"446","Jhansi"
"447","Jyotiba Phule Nagar"
"448","Kannauj"
"449","Kanpur Dehat"
"450","Kanpur Nagar"
"451","Kaushambi"
"452","Kheri"
"453","Kushinagar"
"454","Lalitpur"
"455","Lucknow"
"456","Mahoba"
"457","Maharajganj"
"458","Mainpuri"
"459","Mathura"
"460","Mau"
"461","Meerut"
"462","Mirzapur"
"463","Moradabad"
"464","Muzaffarnagar"
"465","Pilibhit"
"466","Pratapgarh"
"467","RaeBareli"
"468","Rampur"
"469","Saharanpur"
"470","Sant Kabir Nagar"
"471","Sant Ravidas Nagar"
"472","Shahjahanpur"
"473","Shravasti"
"474","Siddharthnagar"
"475","Sitapur"
"476","Sonbhadra"
"477","Sultanpur"
"478","Unnao"
"479","Varanasi"
"480","Almora"
"481","Bageshwar"
"482","Chamoli"
"483","Champawat"
"484","Dehradun"
"485","Pauri Garhwal"
"486","Haridwar"
"487","Nainital"
"488","Pithoragarh"
"489","Rudraprayag"
"490","Tehri Garhwal"
"491","Udham Singh Nagar"
"492","Uttarkashi"
"499","Chandigarh"
"510","Nicobar"
"511","North and Middle Andaman"
"512","South Andaman"
"520","Anjaw"
"521","Changlang"
"522","Dibang Valley"
"523","East Siang"
"524","Kurung Kumey"
"525","East Kameng"
"526","Lohit"
"527","Lower Dibang Valley"
"528","Lower Subansiri"
"529","Papum Pare"
"530","Tirap"
"531","Tawang"
"532","Upper Siang"
"533","West Kameng"
"534","Upper Subansiri"
"535","West Siang"
"540","Baksa"
"541","Barpeta"
"542","Cachar"
"543","Chirang"
"544","Darrang"
"545","Dhemaji"
"546","Dhubri"
"547","Dibrugarh"
"548","Bongaigaon"
"550","Goalpara"
"551","Hailakandi"
"552","Golaghat"
"555","North Cachar Hills"
"556","Sivasagar"
"557","Nalbari"
"558","Udalguri"
"559","Tinsukia"
"560","Sonitpur"
"561","Nagaon"
"562","Morigaon"
"563","Lakhimpur"
"564","Kokrajhar"
"565","Karimganj"
"566","Karbi Anglong"
"567","Kamrup Metropolitan"
"568","Kamrup"
"569","Jorhat"
"570","Dadra & Nagar Haveli"
"580","Daman"
"581","Diu"
"590","North Goa"
"591","South Goa"
"600","North"
"601","Dhanbad"
"602","Dumka"
"603","East Singhbhum"
"604","Gumla"
"605","Garhwa"
"606","Godda"
"607","Giridih"
"608","Hazaribag"
"609","Jamtara"
"610","Latehar"
"611","Khunti"
"612","Koderma"
"613","Pakur"
"614","Palamu"
